order_id,customer_id,ordered_at,payment_method,order_status,is_successful,total_unique_items,total_quantity_items,gross_revenue,discount_amount,shipping_cost,net_revenue,total_cost,net_profit
ORD_000001,CUST_00541,2025-12-28 02:38:52,Apple Pay,Refunded,false,1,2,139.98,10.00,0.00,129.98,50.00,79.98
ORD_000002,CUST_00866,2026-01-03 22:52:05,Credit Card,Refunded,false,1,3,179.97,10.00,9.99,179.96,66.00,113.96
ORD_000003,CUST_00138,2025-09-18 22:37:39,PayPal,Completed,true,1,3,149.97,0.00,4.99,154.96,60.00,94.96
ORD_000004,CUST_00398,2025-09-09 21:11:23,UPI,Refunded,false,1,3,209.97,5.00,0.00,204.97,75.00,129.97
ORD_000005,CUST_00551,2026-02-05 01:59:02,PayPal,Cancelled,false,3,5,305.97,5.00,4.99,305.96,92.00,213.96
ORD_000006,CUST_00635,2025-03-08 19:05:32,UPI,Completed,true,4,9,389.91,10.00,9.99,389.90,135.00,254.90
ORD_000007,CUST_00728,2026-01-14 14:50:38,Apple Pay,Completed,true,1,1,34.99,0.00,0.00,34.99,10.00,24.99
ORD_000008,CUST_00282,2025-09-20 14:48:20,UPI,Refunded,false,1,3,89.97,10.00,9.99,89.96,33.00,56.96
ORD_000009,CUST_00524,2025-09-21 02:01:23,Credit Card,Refunded,false,1,3,68.97,0.00,9.99,78.96,18.00,60.96
ORD_000010,CUST_00452,2026-01-25 15:48:37,Apple Pay,Completed,true,4,5,549.95,5.00,4.99,549.94,222.00,327.94
ORD_000011,CUST_00215,2026-02-15 06:10:18,PayPal,Cancelled,false,1,3,255.00,15.00,4.99,244.99,75.00,169.99
ORD_000012,CUST_00143,2026-01-13 14:07:58,Buy Now Pay Later,Completed,true,3,6,323.96,0.00,9.99,333.95,124.00,209.95
ORD_000013,CUST_00300,2025-10-23 02:41:25,PayPal,Refunded,false,1,2,59.98,15.00,0.00,44.98,16.00,28.98
ORD_000014,CUST_00941,2025-06-04 16:19:33,Apple Pay,Completed,true,3,6,534.97,0.00,9.99,544.96,180.00,364.96
ORD_000015,CUST_00502,2025-07-08 17:05:01,Credit Card,Refunded,false,2,5,249.95,5.00,0.00,244.95,87.00,157.95
ORD_000016,CUST_00768,2025-09-02 07:55:34,Credit Card,Cancelled,false,3,7,479.96,0.00,9.99,489.95,191.00,298.95
ORD_000017,CUST_00996,2025-11-19 19:33:38,PayPal,Cancelled,false,2,3,349.99,10.00,4.99,344.98,151.00,193.98
ORD_000018,CUST_00507,2025-12-26 13:05:53,Apple Pay,Completed,true,3,5,512.95,10.00,4.99,507.94,216.00,291.94
ORD_000019,CUST_00102,2026-01-23 20:03:47,Credit Card,Completed,true,1,2,179.98,5.00,4.99,179.97,60.00,119.97
ORD_000020,CUST_00208,2025-12-06 15:46:06,Apple Pay,Cancelled,false,1,2,69.98,0.00,9.99,79.97,20.00,59.97
ORD_000021,CUST_00085,2025-08-09 10:59:09,PayPal,Cancelled,false,3,6,849.94,15.00,4.99,839.93,355.00,484.93
ORD_000022,CUST_00721,2025-09-23 21:25:05,PayPal,Completed,true,1,3,389.97,0.00,9.99,399.96,165.00,234.96
ORD_000023,CUST_00697,2026-02-14 00:05:42,PayPal,Completed,true,1,2,299.98,0.00,4.99,304.97,130.00,174.97
ORD_000024,CUST_00073,2026-01-25 08:42:40,Apple Pay,Completed,true,1,2,99.98,0.00,4.99,104.97,40.00,64.97
ORD_000025,CUST_00141,2026-01-07 10:42:13,Credit Card,Completed,true,2,6,509.94,10.00,9.99,509.93,210.00,299.93
ORD_000026,CUST_00169,2026-01-22 03:57:42,UPI,Completed,true,2,2,59.98,10.00,9.99,59.97,21.00,38.97
ORD_000027,CUST_00919,2025-04-12 01:04:03,Apple Pay,Completed,true,2,2,104.98,0.00,4.99,109.97,35.00,74.97
ORD_000028,CUST_00284,2025-12-23 03:12:48,Buy Now Pay Later,Completed,true,1,2,170.00,10.00,9.99,169.99,50.00,119.99
ORD_000029,CUST_00798,2025-11-28 17:52:35,PayPal,Completed,true,3,7,289.93,10.00,9.99,289.92,98.00,191.92
ORD_000030,CUST_00662,2025-10-06 04:31:53,Buy Now Pay Later,Completed,true,1,1,49.99,0.00,4.99,54.98,20.00,34.98
ORD_000031,CUST_00541,2025-10-30 14:18:54,PayPal,Completed,true,3,4,169.96,0.00,9.99,179.95,61.00,118.95
ORD_000032,CUST_00602,2025-09-29 09:19:14,Buy Now Pay Later,Completed,true,1,2,399.98,0.00,4.99,404.97,180.00,224.97
ORD_000033,CUST_00644,2026-02-20 19:40:46,Buy Now Pay Later,Refunded,false,2,6,269.94,0.00,9.99,279.93,93.00,186.93
ORD_000034,CUST_00157,2025-09-18 19:11:15,Buy Now Pay Later,Completed,true,1,2,59.98,0.00,0.00,59.98,16.00,43.98
ORD_000035,CUST_00401,2026-02-02 23:32:10,PayPal,Cancelled,false,2,2,189.98,15.00,4.99,179.97,77.00,102.97
ORD_000036,CUST_00089,2026-02-09 15:11:54,Apple Pay,Completed,true,1,3,255.00,10.00,0.00,245.00,75.00,170.00
ORD_000037,CUST_00760,2025-11-30 15:47:07,Credit Card,Cancelled,false,1,1,79.99,15.00,0.00,64.99,35.00,29.99
ORD_000038,CUST_00509,2025-09-23 05:44:48,Apple Pay,Refunded,false,2,4,194.96,0.00,0.00,194.96,60.00,134.96
ORD_000039,CUST_00790,2025-11-17 14:19:24,Buy Now Pay Later,Completed,true,3,6,394.94,0.00,9.99,404.93,148.00,256.93
ORD_000040,CUST_00467,2026-01-07 03:00:49,PayPal,Completed,true,1,2,69.98,0.00,4.99,74.97,20.00,54.97
ORD_000041,CUST_00792,2025-09-27 03:02:33,Credit Card,Refunded,false,2,2,169.98,15.00,9.99,164.97,65.00,99.97
ORD_000042,CUST_00251,2025-08-21 10:35:54,Buy Now Pay Later,Completed,true,1,3,119.97,0.00,0.00,119.97,45.00,74.97
ORD_000043,CUST_00759,2026-01-19 20:55:04,Apple Pay,Completed,true,1,2,239.98,5.00,9.99,244.97,90.00,154.97
ORD_000044,CUST_00846,2025-11-29 05:28:57,PayPal,Refunded,false,1,1,29.99,15.00,0.00,14.99,8.00,6.99
ORD_000045,CUST_00824,2026-01-15 12:09:36,Buy Now Pay Later,Completed,true,4,6,432.94,0.00,0.00,432.94,171.00,261.94
ORD_000046,CUST_00299,2025-10-02 10:14:07,UPI,Completed,true,2,4,209.96,0.00,9.99,219.95,78.00,141.95
ORD_000047,CUST_00923,2026-02-06 08:13:10,Buy Now Pay Later,Completed,true,1,2,39.98,0.00,0.00,39.98,12.00,27.98
ORD_000048,CUST_00652,2025-06-27 21:35:48,Apple Pay,Completed,true,1,1,69.99,15.00,9.99,64.98,25.00,39.98
ORD_000049,CUST_00211,2025-07-26 00:59:03,Apple Pay,Completed,true,1,1,199.99,0.00,9.99,209.98,90.00,119.98
ORD_000050,CUST_00045,2025-07-08 16:58:59,Credit Card,Refunded,false,1,3,330.00,5.00,9.99,334.99,144.00,190.99
ORD_000051,CUST_00098,2025-09-16 12:18:50,Credit Card,Completed,true,2,5,529.95,10.00,9.99,529.94,215.00,314.94
ORD_000052,CUST_00988,2025-10-01 02:02:53,Apple Pay,Completed,true,1,2,299.98,5.00,9.99,304.97,130.00,174.97
ORD_000053,CUST_00464,2025-10-23 11:52:32,Credit Card,Completed,true,1,1,24.99,0.00,9.99,34.98,8.00,26.98
ORD_000054,CUST_00109,2025-05-22 11:52:17,Apple Pay,Completed,true,1,1,19.99,0.00,9.99,29.98,6.00,23.98
ORD_000055,CUST_00463,2025-06-09 16:39:37,Apple Pay,Completed,true,1,3,149.97,0.00,0.00,149.97,60.00,89.97
ORD_000056,CUST_00714,2026-02-06 02:59:24,PayPal,Completed,true,1,2,299.98,0.00,0.00,299.98,130.00,169.98
ORD_000057,CUST_00406,2026-02-21 01:24:48,UPI,Completed,true,2,6,374.94,0.00,4.99,379.93,120.00,259.93
ORD_000058,CUST_00564,2025-09-05 17:31:08,Credit Card,Completed,true,1,1,39.99,0.00,0.00,39.99,15.00,24.99
ORD_000059,CUST_00134,2025-11-10 04:24:51,Apple Pay,Completed,true,1,1,129.99,10.00,9.99,129.98,55.00,74.98
ORD_000060,CUST_00023,2025-12-25 10:24:40,Credit Card,Completed,true,3,4,229.96,0.00,0.00,229.96,92.00,137.96
ORD_000061,CUST_00947,2026-02-17 23:03:02,UPI,Completed,true,3,4,229.96,5.00,9.99,234.95,84.00,150.95
ORD_000062,CUST_00931,2025-05-21 11:42:47,Buy Now Pay Later,Completed,true,1,3,119.97,0.00,9.99,129.96,45.00,84.96
ORD_000063,CUST_00252,2026-02-04 18:37:18,Credit Card,Completed,true,1,2,45.98,5.00,0.00,40.98,12.00,28.98
ORD_000064,CUST_00393,2025-07-09 17:18:01,Buy Now Pay Later,Completed,true,1,1,29.99,0.00,9.99,39.98,8.00,31.98
ORD_000065,CUST_00392,2026-02-10 14:28:38,Buy Now Pay Later,Cancelled,false,1,3,68.97,5.00,4.99,68.96,18.00,50.96
ORD_000066,CUST_00330,2026-01-28 07:29:07,Credit Card,Completed,true,1,2,299.98,10.00,0.00,289.98,130.00,159.98
ORD_000067,CUST_00060,2025-11-08 10:36:23,Credit Card,Refunded,false,1,1,34.99,0.00,0.00,34.99,10.00,24.99
ORD_000068,CUST_00673,2025-11-06 01:32:18,Apple Pay,Completed,true,2,2,319.98,10.00,4.99,314.97,135.00,179.97
ORD_000069,CUST_00243,2025-11-28 23:16:14,Apple Pay,Cancelled,false,2,6,344.94,15.00,9.99,339.93,135.00,204.93
ORD_000070,CUST_00146,2025-10-17 12:00:07,Credit Card,Completed,true,2,4,209.96,0.00,0.00,209.96,66.00,143.96
ORD_000071,CUST_00225,2025-12-30 03:17:50,PayPal,Refunded,false,1,2,299.98,10.00,0.00,289.98,130.00,159.98
ORD_000072,CUST_00735,2025-12-22 05:09:25,PayPal,Completed,true,1,1,39.99,10.00,9.99,39.98,15.00,24.98
ORD_000073,CUST_00867,2026-01-17 12:58:23,PayPal,Completed,true,4,9,869.92,0.00,4.99,874.91,358.00,516.91
ORD_000074,CUST_00984,2026-01-01 03:49:59,Apple Pay,Cancelled,false,1,1,22.99,15.00,9.99,17.98,6.00,11.98
ORD_000075,CUST_00682,2025-10-03 06:16:22,Credit Card,Completed,true,1,3,179.97,0.00,0.00,179.97,66.00,113.97
ORD_000076,CUST_00972,2025-10-16 11:23:07,Buy Now Pay Later,Completed,true,3,7,904.93,10.00,4.99,899.92,370.00,529.92
ORD_000077,CUST_00107,2026-02-08 07:28:42,Apple Pay,Completed,true,1,1,129.99,0.00,4.99,134.98,55.00,79.98
ORD_000078,CUST_00652,2025-07-28 15:09:10,PayPal,Cancelled,false,2,4,239.96,0.00,4.99,244.95,98.00,146.95
ORD_000079,CUST_00070,2025-11-21 16:59:38,UPI,Completed,true,2,3,479.97,5.00,4.99,479.96,215.00,264.96
ORD_000080,CUST_00505,2025-12-03 01:36:17,PayPal,Completed,true,2,3,129.97,10.00,9.99,129.96,44.00,85.96
ORD_000081,CUST_00076,2025-10-09 16:18:00,Apple Pay,Completed,true,1,1,34.99,0.00,0.00,34.99,10.00,24.99
ORD_000082,CUST_00910,2025-09-15 19:26:47,Buy Now Pay Later,Completed,true,2,5,435.95,0.00,9.99,445.94,177.00,268.94
ORD_000083,CUST_00032,2025-08-07 22:04:11,Credit Card,Cancelled,false,1,2,39.98,0.00,0.00,39.98,12.00,27.98
ORD_000084,CUST_00211,2025-06-18 14:46:54,Apple Pay,Completed,true,2,2,57.98,15.00,4.99,47.97,16.00,31.97
ORD_000085,CUST_00051,2025-11-04 02:05:08,Credit Card,Refunded,false,2,3,119.97,0.00,4.99,124.96,39.00,85.96
ORD_000086,CUST_00302,2026-02-27 07:46:00,Apple Pay,Completed,true,1,1,79.99,0.00,0.00,79.99,35.00,44.99
ORD_000087,CUST_00485,2026-02-21 02:12:35,Apple Pay,Completed,true,1,1,69.99,5.00,4.99,69.98,25.00,44.98
