order_item_id,order_id,product_id,quantity,unit_price
ITEM_0000001,ORD_000001,PROD_0013,2,69.99
ITEM_0000002,ORD_000002,PROD_0010,3,59.99
ITEM_0000003,ORD_000003,PROD_0004,3,49.99
ITEM_0000004,ORD_000004,PROD_0013,3,69.99
ITEM_0000005,ORD_000005,PROD_0006,1,89.99
ITEM_0000006,ORD_000005,PROD_0018,2,22.99
ITEM_0000007,ORD_000005,PROD_0020,2,85.0
ITEM_0000008,ORD_000006,PROD_0016,2,39.99
ITEM_0000009,ORD_000006,PROD_0005,3,39.99
ITEM_0000010,ORD_000006,PROD_0007,2,24.99
ITEM_0000011,ORD_000006,PROD_0013,2,69.99
ITEM_0000012,ORD_000007,PROD_0019,1,34.99
ITEM_0000013,ORD_000008,PROD_0015,3,29.99
ITEM_0000014,ORD_000009,PROD_0018,3,22.99
ITEM_0000015,ORD_000010,PROD_0004,1,49.99
ITEM_0000016,ORD_000010,PROD_0008,2,119.99
ITEM_0000017,ORD_000010,PROD_0010,1,59.99
ITEM_0000018,ORD_000010,PROD_0002,1,199.99
ITEM_0000019,ORD_000011,PROD_0020,3,85.0
ITEM_0000020,ORD_000012,PROD_0019,1,34.99
ITEM_0000021,ORD_000012,PROD_0012,2,110.0
ITEM_0000022,ORD_000012,PROD_0018,3,22.99
ITEM_0000023,ORD_000013,PROD_0017,2,29.99
ITEM_0000024,ORD_000014,PROD_0005,1,39.99
ITEM_0000025,ORD_000014,PROD_0020,3,85.0
ITEM_0000026,ORD_000014,PROD_0008,2,119.99
ITEM_0000027,ORD_000015,PROD_0014,2,19.99
ITEM_0000028,ORD_000015,PROD_0013,3,69.99
ITEM_0000029,ORD_000016,PROD_0012,3,110.0
ITEM_0000030,ORD_000016,PROD_0015,1,29.99
ITEM_0000031,ORD_000016,PROD_0016,3,39.99
ITEM_0000032,ORD_000017,PROD_0012,2,110.0
ITEM_0000033,ORD_000017,PROD_0003,1,129.99
ITEM_0000034,ORD_000018,PROD_0011,3,149.99
ITEM_0000035,ORD_000018,PROD_0018,1,22.99
ITEM_0000036,ORD_000018,PROD_0005,1,39.99
ITEM_0000037,ORD_000019,PROD_0006,2,89.99
ITEM_0000038,ORD_000020,PROD_0009,2,34.99
ITEM_0000039,ORD_000021,PROD_0006,2,89.99
ITEM_0000040,ORD_000021,PROD_0002,3,199.99
ITEM_0000041,ORD_000021,PROD_0013,1,69.99
ITEM_0000042,ORD_000022,PROD_0003,3,129.99
ITEM_0000043,ORD_000023,PROD_0011,2,149.99
ITEM_0000044,ORD_000024,PROD_0004,2,49.99
ITEM_0000045,ORD_000025,PROD_0005,3,39.99
ITEM_0000046,ORD_000025,PROD_0003,3,129.99
ITEM_0000047,ORD_000026,PROD_0005,1,39.99
ITEM_0000048,ORD_000026,PROD_0014,1,19.99
ITEM_0000049,ORD_000027,PROD_0019,1,34.99
ITEM_0000050,ORD_000027,PROD_0013,1,69.99
ITEM_0000051,ORD_000028,PROD_0020,2,85.0
ITEM_0000052,ORD_000029,PROD_0010,3,59.99
ITEM_0000053,ORD_000029,PROD_0007,2,24.99
ITEM_0000054,ORD_000029,PROD_0017,2,29.99
ITEM_0000055,ORD_000030,PROD_0004,1,49.99
ITEM_0000056,ORD_000031,PROD_0005,2,39.99
ITEM_0000057,ORD_000031,PROD_0013,1,69.99
ITEM_0000058,ORD_000031,PROD_0014,1,19.99
ITEM_0000059,ORD_000032,PROD_0002,2,199.99
ITEM_0000060,ORD_000033,PROD_0014,3,19.99
ITEM_0000061,ORD_000033,PROD_0013,3,69.99
ITEM_0000062,ORD_000034,PROD_0017,2,29.99
ITEM_0000063,ORD_000035,PROD_0003,1,129.99
ITEM_0000064,ORD_000035,PROD_0010,1,59.99
ITEM_0000065,ORD_000036,PROD_0020,3,85.0
ITEM_0000066,ORD_000037,PROD_0001,1,79.99
ITEM_0000067,ORD_000038,PROD_0009,3,34.99
ITEM_0000068,ORD_000038,PROD_0006,1,89.99
ITEM_0000069,ORD_000039,PROD_0009,3,34.99
ITEM_0000070,ORD_000039,PROD_0017,1,29.99
ITEM_0000071,ORD_000039,PROD_0003,2,129.99
ITEM_0000072,ORD_000040,PROD_0019,2,34.99
ITEM_0000073,ORD_000041,PROD_0004,1,49.99
ITEM_0000074,ORD_000041,PROD_0008,1,119.99
ITEM_0000075,ORD_000042,PROD_0005,3,39.99
ITEM_0000076,ORD_000043,PROD_0008,2,119.99
ITEM_0000077,ORD_000044,PROD_0017,1,29.99
ITEM_0000078,ORD_000045,PROD_0003,2,129.99
ITEM_0000079,ORD_000045,PROD_0015,1,29.99
ITEM_0000080,ORD_000045,PROD_0010,2,59.99
ITEM_0000081,ORD_000045,PROD_0018,1,22.99
ITEM_0000082,ORD_000046,PROD_0008,1,119.99
ITEM_0000083,ORD_000046,PROD_0015,3,29.99
ITEM_0000084,ORD_000047,PROD_0014,2,19.99
ITEM_0000085,ORD_000048,PROD_0013,1,69.99
ITEM_0000086,ORD_000049,PROD_0002,1,199.99
ITEM_0000087,ORD_000050,PROD_0012,3,110.0
ITEM_0000088,ORD_000051,PROD_0013,2,69.99
ITEM_0000089,ORD_000051,PROD_0003,3,129.99
ITEM_0000090,ORD_000052,PROD_0011,2,149.99
ITEM_0000091,ORD_000053,PROD_0007,1,24.99
ITEM_0000092,ORD_000054,PROD_0014,1,19.99
ITEM_0000093,ORD_000055,PROD_0004,3,49.99
ITEM_0000094,ORD_000056,PROD_0011,2,149.99
ITEM_0000095,ORD_000057,PROD_0009,3,34.99
ITEM_0000096,ORD_000057,PROD_0006,3,89.99
ITEM_0000097,ORD_000058,PROD_0005,1,39.99
ITEM_0000098,ORD_000059,PROD_0003,1,129.99
ITEM_0000099,ORD_000060,PROD_0015,2,29.99
ITEM_0000100,ORD_000060,PROD_0005,1,39.99
ITEM_0000101,ORD_000060,PROD_0003,1,129.99
ITEM_0000102,ORD_000061,PROD_0013,1,69.99
ITEM_0000103,ORD_000061,PROD_0016,2,39.99
ITEM_0000104,ORD_000061,PROD_0001,1,79.99
ITEM_0000105,ORD_000062,PROD_0005,3,39.99
ITEM_0000106,ORD_000063,PROD_0018,2,22.99
ITEM_0000107,ORD_000064,PROD_0017,1,29.99
ITEM_0000108,ORD_000065,PROD_0018,3,22.99
ITEM_0000109,ORD_000066,PROD_0011,2,149.99
ITEM_0000110,ORD_000067,PROD_0019,1,34.99
ITEM_0000111,ORD_000068,PROD_0002,1,199.99
ITEM_0000112,ORD_000068,PROD_0008,1,119.99
ITEM_0000113,ORD_000069,PROD_0019,3,34.99
ITEM_0000114,ORD_000069,PROD_0001,3,79.99
ITEM_0000115,ORD_000070,PROD_0006,1,89.99
ITEM_0000116,ORD_000070,PROD_0016,3,39.99
ITEM_0000117,ORD_000071,PROD_0011,2,149.99
ITEM_0000118,ORD_000072,PROD_0005,1,39.99
ITEM_0000119,ORD_000073,PROD_0012,1,110.0
ITEM_0000120,ORD_000073,PROD_0013,3,69.99
ITEM_0000121,ORD_000073,PROD_0004,2,49.99
ITEM_0000122,ORD_000073,PROD_0011,3,149.99
ITEM_0000123,ORD_000074,PROD_0018,1,22.99
ITEM_0000124,ORD_000075,PROD_0010,3,59.99
ITEM_0000125,ORD_000076,PROD_0019,1,34.99
ITEM_0000126,ORD_000076,PROD_0002,3,199.99
ITEM_0000127,ORD_000076,PROD_0006,3,89.99
ITEM_0000128,ORD_000077,PROD_0003,1,129.99
ITEM_0000129,ORD_000078,PROD_0011,1,149.99
ITEM_0000130,ORD_000078,PROD_0015,3,29.99
ITEM_0000131,ORD_000079,PROD_0001,1,79.99
ITEM_0000132,ORD_000079,PROD_0002,2,199.99
ITEM_0000133,ORD_000080,PROD_0004,1,49.99
ITEM_0000134,ORD_000080,PROD_0016,2,39.99
ITEM_0000135,ORD_000081,PROD_0009,1,34.99
ITEM_0000136,ORD_000082,PROD_0018,2,22.99
ITEM_0000137,ORD_000082,PROD_0003,3,129.99
ITEM_0000138,ORD_000083,PROD_0014,2,19.99
ITEM_0000139,ORD_000084,PROD_0018,1,22.99
ITEM_0000140,ORD_000084,PROD_0009,1,34.99
ITEM_0000141,ORD_000085,PROD_0016,2,39.99
ITEM_0000142,ORD_000085,PROD_0005,1,39.99
ITEM_0000143,ORD_000086,PROD_0001,1,79.99
ITEM_0000144,ORD_000087,PROD_0013,1,69.99
ITEM_0000145,ORD_000088,PROD_0013,1,69.99
ITEM_0000146,ORD_000089,PROD_0009,3,34.99
ITEM_0000147,ORD_000090,PROD_0018,1,22.99
ITEM_0000148,ORD_000090,PROD_0014,2,19.99
ITEM_0000149,ORD_000091,PROD_0016,3,39.99
ITEM_0000150,ORD_000091,PROD_0019,1,34.99
ITEM_0000151,ORD_000091,PROD_0008,3,119.99
ITEM_0000152,ORD_000091,PROD_0020,3,85.0
ITEM_0000153,ORD_000092,PROD_0020,1,85.0
ITEM_0000154,ORD_000092,PROD_0005,1,39.99
ITEM_0000155,ORD_000093,PROD_0003,3,129.99
ITEM_0000156,ORD_000094,PROD_0003,2,129.99
ITEM_0000157,ORD_000095,PROD_0001,2,79.99
ITEM_0000158,ORD_000095,PROD_0019,1,34.99
ITEM_0000159,ORD_000096,PROD_0004,3,49.99
ITEM_0000160,ORD_000096,PROD_0020,2,85.0
ITEM_0000161,ORD_000097,PROD_0016,1,39.99
ITEM_0000162,ORD_000098,PROD_0020,1,85.0
ITEM_0000163,ORD_000099,PROD_0016,2,39.99
ITEM_0000164,ORD_000100,PROD_0016,1,39.99
ITEM_0000165,ORD_000101,PROD_0011,3,149.99
ITEM_0000166,ORD_000102,PROD_0014,2,19.99
ITEM_0000167,ORD_000103,PROD_0003,1,129.99
ITEM_0000168,ORD_000103,PROD_0010,3,59.99
ITEM_0000169,ORD_000104,PROD_0007,2,24.99
ITEM_0000170,ORD_000105,PROD_0012,3,110.0
ITEM_0000171,ORD_000106,PROD_0012,1,110.0
ITEM_0000172,ORD_000107,PROD_0012,2,110.0
ITEM_0000173,ORD_000107,PROD_0006,1,89.99
ITEM_0000174,ORD_000108,PROD_0007,3,24.99
ITEM_0000175,ORD_000108,PROD_0008,2,119.99
ITEM_0000176,ORD_000108,PROD_0019,3,34.99
ITEM_0000177,ORD_000109,PROD_0006,3,89.99
ITEM_0000178,ORD_000109,PROD_0001,3,79.99
