order_id,customer_id,order_timestamp,payment_method,order_status,shipping_cost,discount_amount
ORD_000001,CUST_00541,2025-12-28 02:38:52,Apple Pay,Refunded,0.0,10.0
ORD_000002,CUST_00866,2026-01-03 22:52:05,Credit Card,Refunded,9.99,10.0
ORD_000003,CUST_00138,2025-09-18 22:37:39,PayPal,Completed,4.99,0.0
ORD_000004,CUST_00398,2025-09-09 21:11:23,UPI,Refunded,0.0,5.0
ORD_000005,CUST_00551,2026-02-05 01:59:02,PayPal,Cancelled,4.99,5.0
ORD_000006,CUST_00635,2025-03-08 19:05:32,UPI,Completed,9.99,10.0
ORD_000007,CUST_00728,2026-01-14 14:50:38,Apple Pay,Completed,0.0,0.0
ORD_000008,CUST_00282,2025-09-20 14:48:20,UPI,Refunded,9.99,10.0
ORD_000009,CUST_00524,2025-09-21 02:01:23,Credit Card,Refunded,9.99,0.0
ORD_000010,CUST_00452,2026-01-25 15:48:37,Apple Pay,Completed,4.99,5.0
ORD_000011,CUST_00215,2026-02-15 06:10:18,PayPal,Cancelled,4.99,15.0
ORD_000012,CUST_00143,2026-01-13 14:07:58,Buy Now Pay Later,Completed,9.99,0.0
ORD_000013,CUST_00300,2025-10-23 02:41:25,PayPal,Refunded,0.0,15.0
ORD_000014,CUST_00941,2025-06-04 16:19:33,Apple Pay,Completed,9.99,0.0
ORD_000015,CUST_00502,2025-07-08 17:05:01,Credit Card,Refunded,0.0,5.0
ORD_000016,CUST_00768,2025-09-02 07:55:34,Credit Card,Cancelled,9.99,0.0
ORD_000017,CUST_00996,2025-11-19 19:33:38,PayPal,Cancelled,4.99,10.0
ORD_000018,CUST_00507,2025-12-26 13:05:53,Apple Pay,Completed,4.99,10.0
ORD_000019,CUST_00102,2026-01-23 20:03:47,Credit Card,Completed,4.99,5.0
ORD_000020,CUST_00208,2025-12-06 15:46:06,Apple Pay,Cancelled,9.99,0.0
ORD_000021,CUST_00085,2025-08-09 10:59:09,PayPal,Cancelled,4.99,15.0
ORD_000022,CUST_00721,2025-09-23 21:25:05,PayPal,Completed,9.99,0.0
ORD_000023,CUST_00697,2026-02-14 00:05:42,PayPal,Completed,4.99,0.0
ORD_000024,CUST_00073,2026-01-25 08:42:40,Apple Pay,Completed,4.99,0.0
ORD_000025,CUST_00141,2026-01-07 10:42:13,Credit Card,Completed,9.99,10.0
ORD_000026,CUST_00169,2026-01-22 03:57:42,UPI,Completed,9.99,10.0
ORD_000027,CUST_00919,2025-04-12 01:04:03,Apple Pay,Completed,4.99,0.0
ORD_000028,CUST_00284,2025-12-23 03:12:48,Buy Now Pay Later,Completed,9.99,10.0
ORD_000029,CUST_00798,2025-11-28 17:52:35,PayPal,Completed,9.99,10.0
ORD_000030,CUST_00662,2025-10-06 04:31:53,Buy Now Pay Later,Completed,4.99,0.0
ORD_000031,CUST_00541,2025-10-30 14:18:54,PayPal,Completed,9.99,0.0
